@relation data8

@attribute cluster numeric
@attribute index numeric
@attribute mean numeric
@attribute variance numeric

@data
5,0,2.365385,2.808802
3,1,2.75,3.1875
0,2,2.788462,2.474482
4,3,2.423077,2.321006
5,4,2.326923,2.758506
7,5,1.980769,2.480399
6,6,2.461538,2.748521
6,7,2.461538,2.97929
3,8,2.769231,3.292899
4,9,2.365385,2.578033
3,10,2.711538,3.051405
1,11,2.653846,2.841716
0,12,2.923077,2.571006
8,13,2.5,3.096154
4,14,2.519231,2.480399
9,15,2.057692,3.70821
5,16,2.403846,2.702293
0,17,2.826923,2.566198
8,18,2.288462,3.16679
5,19,2.153846,2.784024
0,20,2.807692,2.539941
9,21,2.211538,3.16679
8,22,2.519231,3.211169
1,23,2.576923,2.66716
3,24,2.807692,3.155325
1,25,2.673077,2.873891
1,26,2.653846,2.764793
3,27,2.653846,3.149408
5,28,2.269231,2.619822
7,29,1.788462,2.820636
5,30,2.25,2.572115
7,31,1.980769,2.365015
8,32,2.576923,3.205621
1,33,2.692308,2.751479
6,34,2.634615,3.001109
3,35,2.75,3.072115
7,36,2.230769,2.56213
4,37,2.5,2.634615
8,38,2.596154,3.279216
7,39,2.269231,2.350592
5,40,2.134615,2.654956
1,41,2.576923,2.628698
7,42,2.288462,2.397559
8,43,2.461538,3.286982
6,44,2.423077,2.782544
2,45,2.461538,3.517751
9,46,2.019231,3.018861
0,47,3.115385,2.33284
9,48,2.192308,3.501479
1,49,2.711538,2.705251
3,50,2.884615,2.986686
0,51,3.076923,1.91716
4,52,2.557692,2.438979
1,53,2.673077,2.796967
1,54,2.788462,2.859098
6,55,2.576923,2.859467
8,56,2.326923,3.335429
3,57,2.653846,3.072485
5,58,2.192308,2.655325
4,59,2.673077,2.335429
8,60,2.442308,3.092825
6,61,2.461538,2.902367
9,62,2.096154,3.048447
1,63,2.653846,2.841716
2,64,2.538462,3.748521
3,65,2.711538,3.012944
3,66,2.673077,3.027737
5,67,2.307692,2.636095
3,68,2.769231,3.292899
6,69,2.423077,2.782544
8,70,2.538462,3.248521
8,71,2.596154,3.163831
2,72,2.480769,3.480399
4,73,2.673077,2.220044
6,74,2.5,2.75
1,75,2.711538,2.897559
3,76,2.807692,3.116864
4,77,2.461538,2.633136
8,78,2.461538,3.210059
9,79,2.230769,3.292899
6,80,2.519231,3.057322
2,81,2.346154,3.572485
4,82,2.403846,2.317678
6,83,2.442308,3.054364
5,84,2.153846,2.93787
2,85,2.576923,3.397929
4,86,2.596154,2.356139
3,87,2.826923,3.258506
1,88,2.634615,2.731879
6,89,2.384615,2.852071
3,90,2.692308,2.943787
3,91,2.730769,2.927515
8,92,2.403846,3.163831
7,93,2.192308,2.424556
4,94,2.365385,2.578033
5,95,2.288462,2.743713
9,96,2.211538,3.243713
4,97,2.634615,2.424186
2,98,2.653846,3.495562
6,99,2.461538,2.902367
1,100,2.634615,2.616494
5,101,2.384615,2.698225
2,102,2.384615,3.467456
5,103,2.211538,2.859098
4,104,2.423077,2.474852
7,105,2.192308,2.386095
3,106,2.846154,3.284024
5,107,2.153846,2.93787
7,108,1.980769,2.595784
5,109,2.230769,2.754438
4,110,2.384615,2.58284
1,111,2.692308,2.482249
6,112,2.461538,2.786982
6,113,2.557692,2.938979
5,114,2.288462,2.705251
5,115,2.346154,2.841716
4,116,2.461538,2.363905
6,117,2.5,3.057692
9,118,2.134615,3.231879
5,119,2.307692,2.905325
5,120,2.211538,2.897559
8,121,2.442308,3.131287
4,122,2.346154,2.264793
4,123,2.403846,2.356139
5,124,2.25,2.649038
0,125,2.884615,2.525148
5,126,2.288462,2.859098
3,127,2.961538,3.190828
9,128,2.25,3.418269
5,129,2.288462,2.859098
1,130,2.788462,2.628328
1,131,2.615385,2.58284
1,132,2.538462,2.710059
6,133,2.557692,2.938979
8,134,2.557692,3.285133
4,135,2.384615,2.121302
9,136,2.096154,3.202293
3,137,2.75,3.110577
1,138,2.75,2.725962
7,139,2.115385,2.602071
6,140,2.538462,2.825444
3,141,2.769231,3.177515
0,142,3.057692,2.285133
4,143,2.673077,2.450814
5,144,2.269231,2.619822
3,145,2.923077,2.91716
3,146,2.692308,3.289941
5,147,2.307692,2.828402
6,148,2.480769,2.74963
5,149,2.25,2.764423
6,150,2.384615,2.813609
1,151,2.519231,2.634246
6,152,2.5,2.826923
5,153,2.326923,2.720044
4,154,2.673077,2.412352
3,155,2.903846,3.12537
1,156,2.807692,2.693787
6,157,2.384615,2.852071
8,158,2.403846,3.202293
8,159,2.519231,3.172707
1,160,2.5,2.673077
9,161,2.192308,3.232249
8,162,2.423077,3.205621
4,163,2.538462,2.133136
6,164,2.615385,2.967456
0,165,3,2.615385
4,166,2.461538,2.363905
6,167,2.5,2.903846
5,168,2.365385,2.77034
5,169,2.365385,2.77034
6,170,2.576923,3.051775
4,171,2.653846,2.495562
5,172,2.307692,3.02071
6,173,2.5,2.980769
7,174,2.115385,2.102071
5,175,2.307692,2.789941
5,176,2.230769,2.869822
0,177,2.788462,2.397559
4,178,2.423077,2.321006
4,179,2.557692,2.285133
7,180,1.942308,2.554364
5,181,2.365385,2.693417
3,182,2.961538,2.844675
4,183,2.596154,2.471524
6,184,2.480769,2.941938
7,185,2.230769,2.485207
1,186,2.557692,2.631287
3,187,2.846154,2.976331
3,188,2.673077,3.258506
6,189,2.423077,2.821006
6,190,2.442308,2.862056
3,191,2.653846,3.072485
7,192,2.076923,2.455621
3,193,2.730769,3.119822
7,194,1.711538,2.743713
6,195,2.615385,2.967456
1,196,2.576923,2.821006
8,197,2.307692,3.251479
5,198,2.269231,3.042899
9,199,1.653846,2.957101
1,200,2.730769,2.542899
8,201,2.442308,3.323595
4,202,2.519231,2.518861
9,203,2.192308,3.386095
5,204,2.365385,2.693417
4,205,2.461538,2.363905
5,206,2.326923,2.566198
1,207,2.596154,2.62537
3,208,2.884615,2.909763
3,209,2.692308,2.943787
6,210,2.442308,2.669749
4,211,2.653846,2.418639
6,212,2.615385,2.967456
7,213,2.134615,2.308802
2,214,2.807692,3.732249
1,215,2.653846,2.918639
6,216,2.461538,2.902367
8,217,2.461538,3.286982
8,218,2.442308,3.285133
8,219,2.384615,3.08284
6,220,2.538462,2.786982
5,221,2.192308,2.655325
6,222,2.442308,2.977441
1,223,2.692308,2.866864
2,224,2.538462,3.517751
4,225,2.557692,2.477441
1,226,2.730769,2.81213
7,227,2.076923,2.147929
5,228,2.365385,2.693417
4,229,2.538462,2.440828
1,230,2.653846,2.649408
4,231,2.403846,2.586908
2,232,2.615385,3.659763
3,233,2.903846,3.394601
8,234,2.519231,3.095784
8,235,2.557692,3.169749
2,236,2.615385,3.659763
1,237,2.692308,2.905325
8,238,2.307692,3.059172
1,239,2.615385,2.852071
8,240,2.576923,3.321006
8,241,2.365385,3.078033
3,242,2.692308,2.943787
4,243,2.423077,2.205621
1,244,2.596154,2.586908
3,245,2.865385,2.847263
7,246,2.192308,2.309172
5,247,2.25,2.841346
0,248,2.788462,2.243713
5,249,2.230769,2.715976
4,250,2.519231,2.557322
7,251,2.153846,2.476331
9,252,2.25,3.110577
1,253,2.730769,2.658284
6,254,2.346154,2.995562
7,255,1.980769,2.403476
7,256,2.134615,2.539571
1,257,2.634615,2.616494
5,258,2.288462,2.974482
8,259,2.423077,3.16716
9,260,2.192308,3.386095
6,261,2.5,2.865385
5,262,2.365385,2.847263
8,263,2.442308,3.323595
2,264,2.423077,3.859467
4,265,2.615385,2.313609
6,266,2.519231,3.057322
9,267,2.230769,3.100592
8,268,2.403846,3.356139
5,269,2.403846,2.702293
4,270,2.538462,2.440828
1,271,2.826923,2.681583
6,272,2.5,2.980769
4,273,2.326923,2.489275
8,274,2.346154,3.072485
5,275,2.192308,2.847633
2,276,2.403846,3.702293
4,277,2.423077,2.205621
0,278,2.980769,2.018861
3,279,2.826923,3.066198
0,280,2.730769,2.235207
4,281,2.461538,2.594675
6,282,2.557692,2.977441
8,283,2.346154,3.380178
5,284,2.25,3.033654
7,285,2.288462,2.397559
8,286,2.288462,3.243713
2,287,2.442308,3.669749
2,288,2.615385,3.544379
2,289,2.519231,3.595784
1,290,2.673077,2.758506
5,291,2.326923,2.835429
9,292,2.25,3.533654
2,293,2.653846,3.918639
1,294,2.634615,2.654956
6,295,2.557692,3.054364
4,296,2.634615,2.385725
3,297,2.865385,3.078033
0,298,2.903846,2.471524
9,299,2.076923,3.455621
5,300,2.403846,2.663831
4,301,2.557692,2.515902
0,302,3.038462,2.575444
2,303,2.634615,3.654956
3,304,3.076923,2.994083
4,305,2.442308,2.631287
0,306,2.730769,2.350592
8,307,2.461538,3.210059
7,308,2.288462,2.320636
7,309,2.211538,2.243713
3,310,2.634615,3.078033
7,311,2.173077,2.489275
0,312,2.903846,2.202293
1,313,2.596154,2.62537
6,314,2.538462,3.017751
6,315,2.480769,2.903476
7,316,2.288462,1.936021
8,317,2.615385,3.236686
3,318,2.692308,3.174556
7,319,1.903846,2.62537
4,320,2.365385,2.308802
4,321,2.442308,2.631287
3,322,2.961538,2.883136
0,323,2.730769,2.273669
1,324,2.692308,2.789941
0,325,2.846154,2.053254
6,326,2.365385,2.962648
6,327,2.403846,2.856139
7,328,2.096154,2.62537
9,329,2.057692,3.400518
1,330,2.692308,2.789941
4,331,2.519231,2.441938
1,332,2.75,2.841346
6,333,2.461538,2.902367
5,334,2.230769,3.023669
4,335,2.442308,2.246672
0,336,2.807692,2.232249
5,337,2.307692,2.713018
1,338,2.615385,2.775148
3,339,2.673077,3.027737
1,340,2.75,2.802885
9,341,2.019231,3.557322
4,342,2.423077,2.359467
0,343,2.769231,2.56213
2,344,2.557692,3.400518
3,345,2.730769,3.196746
1,346,2.807692,2.732249
6,347,2.461538,2.940828
6,348,2.480769,2.903476
7,349,2.288462,2.205251
9,350,2.096154,3.163831
3,351,2.730769,3.081361
7,352,2.230769,1.946746
9,353,2.25,3.495192
6,354,2.519231,2.903476
4,355,2.596154,2.548447
0,356,2.903846,2.62537
5,357,2.230769,2.946746
5,358,2.307692,2.943787
3,359,2.711538,2.974482
4,360,2.576923,2.282544
1,361,2.692308,2.597633
2,362,2.423077,3.628698
4,363,2.461538,2.633136
6,364,2.442308,2.938979
4,365,2.576923,2.474852
0,366,2.884615,2.448225
9,367,2.076923,3.147929
1,368,2.673077,2.796967
1,369,2.769231,2.715976
4,370,2.326923,2.489275
7,371,2.288462,2.089867
7,372,1.980769,2.288092
8,373,2.442308,3.131287
8,374,2.365385,3.308802
1,375,2.769231,2.754438
6,376,2.442308,2.977441
2,377,2.519231,3.480399
4,378,2.615385,2.467456
4,379,2.423077,2.282544
4,380,2.442308,2.438979
8,381,2.423077,3.282544
3,382,2.730769,3.158284
7,383,2.153846,2.514793
7,384,2.25,2.456731
9,385,2.115385,3.294379
8,386,2.615385,3.313609
1,387,2.557692,2.70821
9,388,2.057692,3.323595
3,389,2.807692,3.001479
3,390,2.980769,3.057322
4,391,2.442308,2.477441
5,392,2.346154,2.918639
4,393,2.519231,2.557322
0,394,3.076923,2.686391
6,395,2.423077,2.974852
3,396,2.769231,2.908284
3,397,2.673077,3.10466
1,398,2.615385,2.813609
3,399,3.076923,3.071006
1,400,2.557692,2.785133
6,401,2.365385,2.962648
5,402,2.346154,2.764793
4,403,2.480769,2.480399
6,404,2.5,2.980769
5,405,2.326923,2.720044
5,406,2.346154,2.841716
1,407,2.557692,2.785133
3,408,2.75,3.302885
0,409,2.923077,2.763314
6,410,2.480769,2.865015
8,411,2.596154,3.12537
6,412,2.461538,2.902367
3,413,2.730769,3.119822
6,414,2.519231,2.941938
8,415,2.519231,3.095784
8,416,2.326923,3.143121
8,417,2.307692,3.059172
8,418,2.403846,3.394601
3,419,2.711538,3.16679
7,420,2.019231,2.441938
3,421,2.826923,2.950814
2,422,2.634615,3.539571
5,423,2.153846,2.976331
7,424,2.076923,2.532544
3,425,2.826923,3.373891
4,426,2.480769,2.557322
0,427,3,2.346154
4,428,2.596154,2.509985
6,429,2.480769,2.865015
1,430,2.634615,2.847263
6,431,2.480769,3.057322
4,432,2.615385,2.08284
1,433,2.653846,2.610947
4,434,2.634615,2.385725
5,435,2.384615,2.698225
3,436,2.923077,3.378698
3,437,2.846154,3.014793
0,438,2.826923,2.450814
3,439,2.884615,2.83284
0,440,2.884615,2.678994
5,441,2.288462,3.051405
6,442,2.442308,2.785133
5,443,2.038462,2.806213
4,444,2.461538,2.594675
0,445,2.846154,2.43787
4,446,2.346154,2.534024
0,447,2.807692,2.463018
5,448,2.25,2.918269
4,449,2.365385,2.501109
9,450,2.096154,3.317678
1,451,2.519231,2.672707
4,452,2.615385,2.428994
0,453,2.884615,2.602071
8,454,2.423077,3.321006
1,455,2.596154,2.663831
5,456,2.230769,2.869822
6,457,2.384615,2.852071
4,458,2.596154,2.509985
1,459,2.538462,2.710059
5,460,2.019231,2.865015
5,461,2.346154,2.572485
0,462,2.807692,2.424556
6,463,2.519231,2.903476
0,464,2.788462,2.474482
4,465,2.673077,2.412352
7,466,2.230769,2.177515
0,467,2.980769,2.403476
5,468,2.384615,2.736686
6,469,2.461538,3.056213
5,470,2.384615,2.659763
5,471,2.346154,2.572485
6,472,2.519231,2.980399
8,473,2.538462,3.171598
1,474,2.653846,2.726331
2,475,2.423077,3.436391
4,476,2.519231,2.403476
5,477,2.288462,2.66679
0,478,3.076923,2.147929
8,479,2.403846,3.12537
4,480,2.615385,2.505917
5,481,2.173077,3.027737
4,482,2.634615,2.116494
5,483,2.326923,2.60466
1,484,2.615385,2.698225
6,485,2.442308,3.015902
3,486,3,3.307692
6,487,2.538462,2.863905
5,488,2.115385,2.871302
1,489,2.75,2.649038
3,490,2.75,3.379808
5,491,2.230769,2.600592
3,492,2.75,2.956731
4,493,2.615385,1.890533
5,494,2.134615,2.962648
7,495,1.788462,2.743713
2,496,2.442308,3.515902
1,497,2.538462,2.748521
3,498,2.865385,3.001109
5,499,2.211538,2.859098
5,500,2.211538,2.859098
5,501,2.211538,2.859098
5,502,2.211538,2.859098
5,503,2.211538,2.859098
5,504,2.211538,2.859098
5,505,2.211538,2.859098
5,506,2.211538,2.859098
5,507,2.211538,2.859098
5,508,2.211538,2.859098
5,509,2.211538,2.859098
5,510,2.211538,2.859098
5,511,2.211538,2.859098
5,512,2.211538,2.859098
5,513,2.211538,2.859098
5,514,2.211538,2.859098
5,515,2.211538,2.859098
5,516,2.211538,2.859098
5,517,2.211538,2.859098
5,518,2.211538,2.859098
5,519,2.211538,2.859098
5,520,2.211538,2.859098
5,521,2.211538,2.859098
5,522,2.211538,2.859098
5,523,2.211538,2.859098
5,524,2.211538,2.859098
5,525,2.211538,2.859098
5,526,2.211538,2.859098
5,527,2.211538,2.859098
5,528,2.211538,2.859098
