@relation data8

@attribute mean numeric
@attribute variance numeric

@data
2.365385,2.808802
2.75,3.1875
2.788462,2.474482
2.423077,2.321006
2.326923,2.758506
1.980769,2.480399
2.461538,2.748521
2.461538,2.97929
2.769231,3.292899
2.365385,2.578033
2.711538,3.051405
2.653846,2.841716
2.923077,2.571006
2.5,3.096154
2.519231,2.480399
2.057692,3.70821
2.403846,2.702293
2.826923,2.566198
2.288462,3.16679
2.153846,2.784024
2.807692,2.539941
2.211538,3.16679
2.519231,3.211169
2.576923,2.66716
2.807692,3.155325
2.673077,2.873891
2.653846,2.764793
2.653846,3.149408
2.269231,2.619822
1.788462,2.820636
2.25,2.572115
1.980769,2.365015
2.576923,3.205621
2.692308,2.751479
2.634615,3.001109
2.75,3.072115
2.230769,2.56213
2.5,2.634615
2.596154,3.279216
2.269231,2.350592
2.134615,2.654956
2.576923,2.628698
2.288462,2.397559
2.461538,3.286982
2.423077,2.782544
2.461538,3.517751
2.019231,3.018861
3.115385,2.33284
2.192308,3.501479
2.711538,2.705251
2.884615,2.986686
3.076923,1.91716
2.557692,2.438979
2.673077,2.796967
2.788462,2.859098
2.576923,2.859467
2.326923,3.335429
2.653846,3.072485
2.192308,2.655325
2.673077,2.335429
2.442308,3.092825
2.461538,2.902367
2.096154,3.048447
2.653846,2.841716
2.538462,3.748521
2.711538,3.012944
2.673077,3.027737
2.307692,2.636095
2.769231,3.292899
2.423077,2.782544
2.538462,3.248521
2.596154,3.163831
2.480769,3.480399
2.673077,2.220044
2.5,2.75
2.711538,2.897559
2.807692,3.116864
2.461538,2.633136
2.461538,3.210059
2.230769,3.292899
2.519231,3.057322
2.346154,3.572485
2.403846,2.317678
2.442308,3.054364
2.153846,2.93787
2.576923,3.397929
2.596154,2.356139
2.826923,3.258506
2.634615,2.731879
2.384615,2.852071
2.692308,2.943787
2.730769,2.927515
2.403846,3.163831
2.192308,2.424556
2.365385,2.578033
2.288462,2.743713
2.211538,3.243713
2.634615,2.424186
2.653846,3.495562
2.461538,2.902367
2.634615,2.616494
2.384615,2.698225
2.384615,3.467456
2.211538,2.859098
2.423077,2.474852
2.192308,2.386095
2.846154,3.284024
2.153846,2.93787
1.980769,2.595784
2.230769,2.754438
2.384615,2.58284
2.692308,2.482249
2.461538,2.786982
2.557692,2.938979
2.288462,2.705251
2.346154,2.841716
2.461538,2.363905
2.5,3.057692
2.134615,3.231879
2.307692,2.905325
2.211538,2.897559
2.442308,3.131287
2.346154,2.264793
2.403846,2.356139
2.25,2.649038
2.884615,2.525148
2.288462,2.859098
2.961538,3.190828
2.25,3.418269
2.288462,2.859098
2.788462,2.628328
2.615385,2.58284
2.538462,2.710059
2.557692,2.938979
2.557692,3.285133
2.384615,2.121302
2.096154,3.202293
2.75,3.110577
2.75,2.725962
2.115385,2.602071
2.538462,2.825444
2.769231,3.177515
3.057692,2.285133
2.673077,2.450814
2.269231,2.619822
2.923077,2.91716
2.692308,3.289941
2.307692,2.828402
2.480769,2.74963
2.25,2.764423
2.384615,2.813609
2.519231,2.634246
2.5,2.826923
2.326923,2.720044
2.673077,2.412352
2.903846,3.12537
2.807692,2.693787
2.384615,2.852071
2.403846,3.202293
2.519231,3.172707
2.5,2.673077
2.192308,3.232249
2.423077,3.205621
2.538462,2.133136
2.615385,2.967456
3,2.615385
2.461538,2.363905
2.5,2.903846
2.365385,2.77034
2.365385,2.77034
2.576923,3.051775
2.653846,2.495562
2.307692,3.02071
2.5,2.980769
2.115385,2.102071
2.307692,2.789941
2.230769,2.869822
2.788462,2.397559
2.423077,2.321006
2.557692,2.285133
1.942308,2.554364
2.365385,2.693417
2.961538,2.844675
2.596154,2.471524
2.480769,2.941938
2.230769,2.485207
2.557692,2.631287
2.846154,2.976331
2.673077,3.258506
2.423077,2.821006
2.442308,2.862056
2.653846,3.072485
2.076923,2.455621
2.730769,3.119822
1.711538,2.743713
2.615385,2.967456
2.576923,2.821006
2.307692,3.251479
2.269231,3.042899
1.653846,2.957101
2.730769,2.542899
2.442308,3.323595
2.519231,2.518861
2.192308,3.386095
2.365385,2.693417
2.461538,2.363905
2.326923,2.566198
2.596154,2.62537
2.884615,2.909763
2.692308,2.943787
2.442308,2.669749
2.653846,2.418639
2.615385,2.967456
2.134615,2.308802
2.807692,3.732249
2.653846,2.918639
2.461538,2.902367
2.461538,3.286982
2.442308,3.285133
2.384615,3.08284
